,Tau,Met_Z,E(B-V),Mass
0,3.0368127792466164,0.021436273874849622,0.2485552273306818,5406106453.714998
1,4.708450224994762,0.021201671863197817,0.250358810116622,3434158793.0822277
2,2.585525599724202,0.022025008784578564,0.24496457347817216,14635166198.145037
3,5.1286667175447445,0.021001764450029093,0.24286464879767602,9020298332.5993
4,4.987430923133142,0.02102134780669199,0.2410504049223059,11015313073.080336
5,4.753776367131116,0.021305335314077002,0.24563399609043282,13133377802.836506
6,5.3186444425149055,0.02113172134780951,0.2412412758283949,10608881483.478535
7,5.077427287815275,0.021042571981707676,0.24007993042112324,12178155284.38318
8,3.890833869053189,0.021485673946393148,0.24383637285307927,10845774761.395626
9,5.640392749210552,0.02092903283973495,0.23867233076478944,21825025290.009884
10,5.4411665690429105,0.02120628455211464,0.24541588971447068,6673691798.975632
11,2.9921415684829373,0.02162697246727239,0.2448287579051082,15502319882.670961
12,5.207964337321879,0.02099484242969226,0.24140396690523597,9329869058.004084
13,5.128210734112619,0.020992662726589794,0.2415294493216016,10764275217.922153
14,4.788044835022425,0.021068418031107584,0.24375916114858207,8202179948.948852
15,5.326166739393719,0.020957582908131243,0.24206310395799108,9043182924.70334
16,5.439385369636562,0.02087650886739538,0.24252465492381936,7968809987.819641
17,5.027207126450284,0.02089007419553403,0.23994868769474734,12239423135.98458
18,3.972913070984502,0.021214156423314517,0.2405730985493219,24765711794.382057
19,3.959893928884076,0.02127306393436825,0.2466570341716611,5495169664.049502
20,3.885049480213564,0.021558832091993902,0.24632989709582703,9374083405.565044
21,4.918154377994835,0.020979212623596147,0.24229784161335474,7279324662.990474
22,5.0625691152813594,0.020919249674013228,0.24258192612838803,8113593822.15844
23,3.9574608381076,0.022056484259485375,0.24674629537245202,11979618193.580856
24,5.011844048464057,0.021015974447234374,0.2453426990800193,5055486253.7568
25,3.437814008354121,0.021213634884727262,0.24452009162276622,5991017447.11164
26,4.347882078868746,0.021234662439772733,0.24883658767504863,3599379188.0795717
27,5.208384260733369,0.021237599843635314,0.24854566909685222,5753020425.892772
28,4.417705883156109,0.021257767237669735,0.24724796268628338,4299524537.810888
29,2.5464965149594434,0.02295778099024161,0.24845968772441168,8441544055.692148
